工资ID,报名ID,日期,基地,岗位,姓名,UID,工时,金额,状态
30,1,2026-04-01,狗熊岭伐木场,伐木场采摘辅助-0649,狗熊岭工人01,UMNF7M76L5CF6,8,200,2
29,2,2026-04-01,狗熊岭伐木场,伐木场采摘辅助-0649,狗熊岭工人02,UMNF7M7BP82D9,8,200,2
28,3,2026-04-01,狗熊岭伐木场,伐木场采摘辅助-0649,狗熊岭工人03,UMNF7M7F866F9,8,200,2
27,4,2026-04-01,狗熊岭伐木场,伐木场采摘辅助-0649,狗熊岭工人04,UMNF7M7J04EC1,8,200,2
26,5,2026-04-01,狗熊岭伐木场,伐木场采摘辅助-0649,狗熊岭工人05,UMNF7M7N0C33F,8,200,2
25,6,2026-04-01,狗熊岭伐木场,伐木场采摘辅助-0649,狗熊岭工人06,UMNF7M7QA4663,8,200,2
24,7,2026-04-01,狗熊岭伐木场,伐木场采摘辅助-0649,狗熊岭工人07,UMNF7M7VH73F8,8,200,2
23,8,2026-04-01,狗熊岭伐木场,伐木场采摘辅助-0649,狗熊岭工人08,UMNF7M7Z03981,8,200,2
22,9,2026-04-01,狗熊岭伐木场,伐木场采摘辅助-0649,狗熊岭工人09,UMNF7M823F12F,8,200,2
21,10,2026-04-01,狗熊岭伐木场,伐木场采摘辅助-0649,狗熊岭工人10,UMNF7M85GA662,8,200,2
20,11,2026-04-01,狗熊岭伐木场,伐木场采摘辅助-0649,狗熊岭工人11,UMNF7M88Q2653,8,200,2
19,12,2026-04-01,狗熊岭伐木场,伐木场采摘辅助-0649,狗熊岭工人12,UMNF7M8C15B67,8,200,2
18,13,2026-04-01,狗熊岭伐木场,伐木场采摘辅助-0649,狗熊岭工人13,UMNF7M8F41DB5,8,200,2
17,14,2026-04-01,狗熊岭伐木场,伐木场采摘辅助-0649,狗熊岭工人14,UMNF7M8I74F76,8,200,2
16,15,2026-04-01,狗熊岭伐木场,伐木场采摘辅助-0649,狗熊岭工人15,UMNF7M8LICB63,8,200,2
15,16,2026-04-01,狗熊岭伐木场,伐木场采摘辅助-0649,狗熊岭工人16,UMNF7M8OV3A28,8,200,2
14,17,2026-04-01,狗熊岭伐木场,伐木场采摘辅助-0649,狗熊岭工人17,UMNF7M8S3FCCA,8,200,2
13,18,2026-04-01,狗熊岭伐木场,伐木场采摘辅助-0649,狗熊岭工人18,UMNF7M8UY77D4,8,200,2
12,19,2026-04-01,狗熊岭伐木场,伐木场采摘辅助-0649,狗熊岭工人19,UMNF7M8XQ7B20,8,200,2
11,20,2026-04-01,狗熊岭伐木场,伐木场采摘辅助-0649,狗熊岭工人20,UMNF7M90W9CD2,8,200,2
10,21,2026-04-01,狗熊岭伐木场,伐木场采摘辅助-0649,狗熊岭工人21,UMNF7M94E6D30,8,200,2
9,22,2026-04-01,狗熊岭伐木场,伐木场采摘辅助-0649,狗熊岭工人22,UMNF7M97C59CF,8,200,2
8,23,2026-04-01,狗熊岭伐木场,伐木场采摘辅助-0649,狗熊岭工人23,UMNF7M9AE3DB7,8,200,2
7,24,2026-04-01,狗熊岭伐木场,伐木场采摘辅助-0649,狗熊岭工人24,UMNF7M9D7A8A1,8,200,2
6,25,2026-04-01,狗熊岭伐木场,伐木场采摘辅助-0649,狗熊岭工人25,UMNF7M9G95B95,8,200,2
5,26,2026-04-01,狗熊岭伐木场,伐木场采摘辅助-0649,狗熊岭工人26,UMNF7M9JD89AC,8,200,2
4,27,2026-04-01,狗熊岭伐木场,伐木场采摘辅助-0649,狗熊岭工人27,UMNF7M9MH6011,8,200,2
3,28,2026-04-01,狗熊岭伐木场,伐木场采摘辅助-0649,狗熊岭工人28,UMNF7M9PR03B2,8,200,2
2,29,2026-04-01,狗熊岭伐木场,伐木场采摘辅助-0649,狗熊岭工人29,UMNF7M9T22477,8,200,2
1,30,2026-04-01,狗熊岭伐木场,伐木场采摘辅助-0649,狗熊岭工人30,UMNF7M9W0DD54,8,200,2
